scene-01: 22.523s
scene-03: 15.325s
scene-04: 0.800s
scene-05: 26.471s
scene-06: 27.121s
scene-07: 60.140s
scene-08: 31.347s
scene-09: 29.489s
scene-10: 9.427s
scene-11: 26.889s
scene-12: 25.681s
scene-13: 57.539s
scene-14: 33.297s
scene-15: 39.660s
scene-16: 23.127s
scene-17: 33.344s
scene-18: 35.155s
scene-19: 29.536s
scene-20: 36.641s
scene-21: 44.071s
scene-22: 38.127s
scene-23: 18.158s
scene-24: 41.564s
scene-26: 68.081s
scene-27: 35.062s
scene-29: 3.529s
scene-30: 16.765s

TOTAL: 828.870s (13.81 min)
